Quarter,Revenue,Net Income,EPS (Diluted),Dividend Per Share,Total Assets,Total Liabilities,Shareholders' Equity,Book Value Per Share,Market Capitalization,PE Ratio,PS Ratio,PB Ratio,Return on Assets (ROA),Return on Equity (ROE),Earnings Yield,Dividend Yield,Stock Symbol,Date,Stock Price,Symbol
Q3 2024,15902822,2088852,1430,1000,67581587,32217403,35364184,20331.29,196430265,28.35,3.28,5.55,9.23%,28.37%,3.81%,2.05%,FPT,9/30/2024 0:00,133.57,FPT
Q2 2024,15245226,1875159,1283.67,-,65321968,32537727,32784240,18819.56,190588473,28.97,3.3,5.81,9.48%,28.03%,3.74%,-,FPT,6/30/2024 0:00,129.6,FPT
Q1 2024,14092928,1798031,1231.14,-,62024705,30297604,31727101,18373.86,147951374,23.82,2.69,4.66,9.68%,28.07%,4.58%,-,FPT,3/31/2024 0:00,99.92,FPT
Q4 2023,14690413,1723068,542.36,1739.13,60282828,30349816,29933011,17100.15,122044009,20.66,2.32,4.08,9.33%,29.13%,5.30%,2.11%,FPT,12/31/2023 0:00,82.42,FPT
Q3 2023,13761745,1739340,1191,-,62112676,33707021,28405656,16182.58,117853112,20.87,2.31,4.15,8.63%,26.67%,5.18%,-,FPT,9/30/2023 0:00,79.59,FPT
Q2 2023,12484364,1509220,880,-,60524395,31929067,28595328,16536.13,94972519,17.71,1.96,3.32,9.15%,27.62%,6.13%,-,FPT,6/30/2023 0:00,62.67,FPT
Q1 2023,11681379,1493563,1028.58,-,50741161,23679982,27061179,15569.72,86774802,17,1.89,3.21,9.51%,26.47%,6.41%,-,FPT,3/31/2023 0:00,57.64,FPT
Q4 2022,13034655,1366692,625.18,756.144,51650404,26294279,25356125,14506.63,84361343,17.4,1.92,3.33,7.93%,29.59%,6.29%,2.70%,FPT,12/31/2022 0:00,56.04,FPT
Q3 2022,11148559,1453716,1003.48,-,55127102,31071333,24055768,13713.15,88310639,18.2,2.12,3.67,7.06%,26.94%,5.94%,-,FPT,9/30/2022 0:00,58.66,FPT
Q2 2022,10096060,1250820,861.88,756.144,56295551,32883878,23411673,13481.66,94563690,20.9,2.41,4.04,6.48%,27.74%,5.20%,2.37%,FPT,6/30/2022 0:00,62.09,FPT
Q1 2022,9730254,1238879,858.98,-,55601299,32641898,22959402,13319.44,97099212,22.72,2.57,4.23,7.18%,29.98%,4.81%,-,FPT,3/31/2022 0:00,63.65,FPT
Q4 2021,10704056,1306399,440.22,712.309,53697941,32279956,21417985,12457.66,84394642,21.42,2.37,3.94,7.22%,27.23%,5.14%,2.28%,FPT,12/31/2021 0:00,55.32,FPT
Q3 2021,8725172,1124839,781.1,-,48244878,27920745,20324133,11792.86,84394642,22.79,2.51,4.15,8.17%,25.33%,4.76%,-,FPT,9/30/2021 0:00,55.32,FPT
Q2 2021,8641707,1000031,696.28,547.93,46980501,26922973,20057528,11656.31,79848960,22.77,2.46,3.98,6.27%,24.01%,4.78%,1.98%,FPT,6/30/2021 0:00,51.79,FPT
Q1 2021,7586328,906143,632.64,-,44474278,24743978,19730300,11629.47,60909427,17.99,1.98,3.09,7.92%,27.27%,6.07%,-,FPT,3/31/2021 0:00,39.36,FPT
Q4 2020,8666705,983304,320.77,476.464,41734323,23128656,18605667,11005.76,46328792,14.36,1.55,2.49,8.09%,25.46%,7.64%,3.42%,FPT,12/31/2020 0:00,29.94,FPT
Q3 2020,7553129,928888,649.65,-,37757457,19576056,18181401,10528.52,39195255,12.91,1.34,2.16,7.84%,24.41%,8.45%,-,FPT,9/30/2020 0:00,25.33,FPT
Q2 2020,6980002,878711,612.71,547.93,35912809,18009083,17903726,10456.16,35785268,11.67,1.24,2,7.74%,21.77%,9.34%,4.52%,FPT,6/30/2020 0:00,22.64,FPT
Q1 2020,6630565,747105,524.37,-,34416669,16785979,17630689,10302.89,28016559,9.4,0.98,1.59,Upgrade,Upgrade,11.62%,-,FPT,3/31/2020 0:00,17.4,FPT
Q4 2019,,,,,,,,,,,,,,,,,FPT,12/31/2019 0:00,24.68,FPT
Q3 2024,33323142,7866075,1806.48,-,524684352,308718618,215965734,45961.01,186366928,9,2.36,0.86,3.62%,21.26%,11.11%,-,VHM,9/30/2024 0:00,42.8,VHM
Q2 2024,28375364,10891021,2500.83,-,493450362,286518100,206932262,44154.84,163941936,6.96,2.1,0.79,0.47%,1.91%,14.36%,-,VHM,6/30/2024 0:00,37.65,VHM
Q1 2024,8211201,884697,203.17,-,464484694,268268453,196216241,41853.58,186584647,8.35,2.26,0.95,-1.16%,2.50%,11.97%,-,VHM,3/31/2024 0:00,42.85,VHM
Q4 2023,8920226,1071625,246.1,-,444630675,261994369,182636306,41177.46,188108675,5.64,1.82,1.03,8.38%,24.44%,17.74%,-,VHM,12/31/2023 0:00,43.2,VHM
Q3 2023,32724102,10694762,2456.1,-,417039474,236174964,180864510,40779.34,198123721,4.78,1.57,1.1,7.25%,23.60%,20.91%,-,VHM,9/30/2023 0:00,45.5,VHM
Q2 2023,32613837,9687696,2224.82,-,396349284,226245727,170103557,38314.65,239490212,5.3,2.16,1.41,3.44%,30.87%,18.89%,-,VHM,6/30/2023 0:00,55,VHM
Q1 2023,29298557,11917322,2736.87,-,377621667,217203532,160418135,36099.9,224249926,6.19,2.71,1.4,9.89%,25.26%,16.15%,-,VHM,3/31/2023 0:00,51.5,VHM
Q4 2022,31193810,9130484,2096.72,-,361812647,213290804,148521843,33348.88,209009639,7.25,3.35,1.41,6.06%,43.24%,13.79%,-,VHM,12/31/2022 0:00,48,VHM
Q3 2022,17804867,14493845,3328.58,-,341601215,201469484,140131731,31167.95,220766432,7.02,4.05,1.58,1.12%,2.25%,14.24%,-,VHM,9/30/2022 0:00,50.7,VHM
Q2 2022,4470436,666474,153.06,-,319105330,189596618,129508712,27808.84,270406221,9.62,4.71,2.09,2.65%,14.13%,10.40%,-,VHM,6/30/2022 0:00,62.1,VHM
Q1 2022,8923490,4540066,1042.65,-,233962584,97890687,136071897,29676.21,330061056,8.69,4.08,2.43,11.87%,37.31%,11.50%,-,VHM,3/31/2022 0:00,73.65,VHM
Q4 2021,23304612,11740375,2696.23,2000,230516471,99109060,131407411,28647.44,357058134,9.2,4.2,2.72,15.08%,40.90%,10.87%,2.51%,VHM,12/31/2021 0:00,79.67,VHM
Q3 2021,20679434,11166795,2580.74,-,219638744,100096479,119542265,26196.82,340946974,8.95,4.07,2.85,16.30%,43.58%,11.17%,-,VHM,9/30/2021 0:00,76.08,VHM
Q2 2021,28015119,10521243,2439.8,-,210849493,111402165,99447328,22407.29,388162642,11.77,4.33,3.9,6.00%,23.82%,8.50%,-,VHM,6/30/2021 0:00,86.95,VHM
Q1 2021,12986441,5396149,1261.85,-,207714674,113109997,94604677,21302.34,320069704,12.36,4.1,3.38,6.91%,52.33%,8.09%,-,VHM,3/31/2021 0:00,71.7,VHM
Q4 2020,22168443,11014380,2575.85,1153.846,215886374,126520972,89365402,20040.49,294411496,10.76,4.11,3.29,8.45%,31.74%,9.29%,1.75%,VHM,12/31/2020 0:00,65.95,VHM
Q3 2020,26482588,6058321,1416.7,-,220509139,141731332,78777807,17515.36,248358301,10.91,3.92,3.15,6.21%,18.40%,9.16%,-,VHM,9/30/2020 0:00,55.63,VHM
Q2 2020,16376482,3434748,803.19,-,225577738,149424305,76153433,16043.11,248358301,11.2,5.2,3.26,2.71%,44.63%,8.93%,-,VHM,6/30/2020 0:00,55.63,VHM
Q1 2020,6519224,6843831,1600.38,-,203007149,130668570,72338579,14714.13,180923265,6.94,3.46,2.5,Upgrade,Upgrade,14.40%,-,VHM,3/31/2020 0:00,40.53,VHM
Q4 2019,,,,,,,,,,,,,,,,,VHM,12/31/2019 0:00,62.49,VHM
Q3 2024,10645070,5737505,814.41,-,927053345,782685363,144367982,20288.16,170489523,7.56,3.98,1.18,2.80%,18.15%,13.25%,-,TCB,9/30/2024 0:00,24.2,TCB
Q2 2024,11775483,6193361,879.11,-,908306700,769755043,138551657,19470.45,164501255,7.68,3.95,1.19,2.89%,18.63%,13.05%,-,TCB,6/30/2024 0:00,23.35,TCB
Q1 2024,11050795,6220997,883.03,-,885653461,747780735,137872726,19375.37,167495389,8.51,4.36,1.21,2.20%,13.86%,11.78%,-,TCB,3/31/2024 0:00,23.06,TCB
Q4 2023,9383159,4438909,623.26,750,849482012,717865947,131616065,18495.22,112015844,6.24,3.1,0.85,2.47%,14.96%,16.07%,4.86%,TCB,12/31/2023 0:00,15.42,TCB
Q3 2023,9473521,4612943,655.76,-,781278666,654148880,127129786,17891.26,118355076,6.93,3.34,0.93,2.47%,14.98%,14.46%,-,TCB,9/30/2023 0:00,16.32,TCB
Q2 2023,8517900,4455055,633.32,-,732470169,610005199,122464970,17236.05,113782666,6.41,3.2,0.93,2.55%,15.69%,15.64%,-,TCB,6/30/2023 0:00,15.69,TCB
Q1 2023,8765444,4496895,639.27,-,723517800,605552384,117965416,16603.29,99713712,5.22,2.65,0.85,2.09%,12.80%,19.20%,-,TCB,3/31/2023 0:00,13.75,TCB
Q4 2022,8659675,3544272,498.37,-,699032544,585607578,113424966,15963.67,90920616,4.52,2.36,0.8,3.32%,20.03%,22.16%,-,TCB,12/31/2022 0:00,12.53,TCB
Q3 2022,9626229,5297966,753.14,-,671353524,561454375,109899149,15476.17,114310252,5.4,2.9,1.04,3.80%,23.17%,18.56%,-,TCB,9/30/2022 0:00,15.76,TCB
Q2 2022,10516999,5803525,826.5,-,623745079,519272386,104472693,14741.08,124813021,6.17,3.28,1.19,3.79%,23.44%,16.23%,-,TCB,6/30/2022 0:00,17.24,TCB
Q1 2022,9787994,5504614,783.93,-,615270328,516684338,98585990,13914.03,173965828,9.1,4.82,1.76,3.39%,20.73%,11.01%,-,TCB,3/31/2022 0:00,24.03,TCB
Q4 2021,9531793,4606795,650.66,-,568728950,475687478,93041472,13129.71,175545740,9.74,5.1,1.89,3.39%,20.58%,10.28%,-,TCB,12/31/2021 0:00,24.24,TCB
Q3 2021,8190218,4337600,617.73,-,541635295,453250854,88384441,12479.82,174141374,10.02,5.38,1.97,3.98%,23.59%,9.99%,-,TCB,9/30/2021 0:00,24.05,TCB
Q2 2021,8608292,4711126,672.08,-,504303766,420402756,83901010,11875.1,184708558,11.45,6.01,2.2,3.97%,23.30%,8.75%,-,TCB,6/30/2021 0:00,25.55,TCB
Q1 2021,8080896,4396729,627.22,-,462822690,383729925,79092765,11202.8,141598212,9.94,5.15,1.79,3.81%,22.08%,10.07%,-,TCB,3/31/2021 0:00,19.59,TCB
Q4 2020,7499850,3953202,560.67,-,439602933,364988147,74614786,10575.32,110404546,8.97,4.46,1.48,3.19%,18.43%,11.16%,-,TCB,12/31/2020 0:00,15.27,TCB
Q3 2020,6553259,3099018,442.7,-,401461729,330853376,70608353,10021.25,79103163,6.96,3.35,1.12,2.93%,17.51%,14.41%,-,TCB,9/30/2020 0:00,10.96,TCB
Q2 2020,5377775,2816879,402.17,-,395861051,328431848,67429203,9578.71,68427736,6.32,3.11,1.01,2.58%,15.83%,15.87%,-,TCB,6/30/2020 0:00,9.48,TCB
Q1 2020,5336769,2455892,350.83,-,391807859,327217089,64590770,9178.24,52502099,5.04,2.47,0.81,Upgrade,Upgrade,19.90%,-,TCB,3/31/2020 0:00,7.27,TCB
Q4 2019,,,,,,,,,,,,,,,,,TCB,12/31/2019 0:00,11.42,TCB
Q3 2024,33956260,3022947,472.61,-,211386344,99607247,111779097,17446.11,168541564,14.23,1.21,1.51,5.03%,12.39%,7.23%,-,HPG,9/30/2024 0:00,26.35,HPG
Q2 2024,39555510,3319263,518.94,-,206609080,97932515,108676565,16974.63,181013881,16.72,1.36,1.67,4.10%,11.01%,6.17%,-,HPG,6/30/2024 0:00,28.3,HPG
Q1 2024,30852360,2870589,448.79,-,201940226,96315645,105624581,16497.2,175897267,19.61,1.43,1.67,5.14%,11.72%,5.29%,-,HPG,3/31/2024 0:00,27.5,HPG
Q4 2023,34383805,2972779,411.61,-,187782587,84946167,102836419,16067.29,162523260,25.02,1.37,1.58,3.88%,8.09%,4.21%,-,HPG,12/31/2023 0:00,25.41,HPG
Q3 2023,28484088,2004745,313.42,-,173507012,73641823,99865188,15601.79,152928864,83.63,1.39,1.53,3.30%,5.96%,1.22%,-,HPG,9/30/2023 0:00,23.91,HPG
Q2 2023,29496383,1460043,228.26,-,176294074,78433783,97860291,15287.56,152056646,-77.96,1.31,1.55,1.33%,1.59%,-1.25%,-,HPG,6/30/2023 0:00,23.77,HPG
Q1 2023,26588752,397497,62.15,-,175408611,78970636,96437975,15063,120947543,194.5,0.98,1.25,-2.74%,-8.23%,0.55%,-,HPG,3/31/2023 0:00,18.91,HPG
Q4 2022,25825732,-1991548,-317.96,-,170335522,74222582,96112940,15009.91,104666143,-,0.74,1.09,0.09%,-7.22%,8.11%,-,HPG,12/31/2022 0:00,16.36,HPG
Q3 2022,34103341,-1774134,-277.37,-,183805111,85729628,98075483,15315.7,123273457,-,0.77,1.26,7.22%,16.18%,14.52%,-,HPG,9/30/2022 0:00,19.27,HPG
Q2 2022,37422055,4032232,630.4,-,207496628,107581227,99915401,15601.5,129669721,4.58,0.79,1.3,12.73%,34.60%,23.16%,-,HPG,6/30/2022 0:00,20.27,HPG
Q1 2022,44058147,8216960,1284.65,-,185847109,86889171,98957938,15448.55,201728814,5.93,1.24,2.04,11.86%,33.90%,17.71%,-,HPG,3/31/2022 0:00,31.03,HPG
Q4 2021,44710732,7427443,894.8,349.65,178236422,87455797,90780626,14168.52,207543614,6.33,1.39,2.29,16.51%,52.31%,16.61%,1.10%,HPG,12/31/2021 0:00,31.92,HPG
Q3 2021,38673829,10351739,1618.4,-,174643274,90317590,84325684,13153.95,236617611,7.77,1.81,2.81,17.89%,55.60%,13.40%,-,HPG,9/30/2021 0:00,36.4,HPG
Q2 2021,35118355,9721407,1519.85,-,159809151,85824712,73984439,11538.02,230355519,9.65,1.97,3.11,13.98%,44.68%,10.91%,-,HPG,6/30/2021 0:00,35.43,HPG
Q1 2021,31176875,6977554,1090.87,-,138982270,72760709,66221560,10325.28,155061628,9.18,1.52,2.34,11.59%,32.65%,11.70%,-,HPG,3/31/2021 0:00,23.67,HPG
Q4 2020,25778031,4649479,531.83,259,131511434,72291648,59219786,9235.2,137335566,11.25,1.52,2.32,10.23%,28.15%,9.79%,1.24%,HPG,12/31/2020 0:00,20.97,HPG
Q3 2020,24685562,3772707,589.83,-,117472262,62484991,54987271,8567.13,87470662,8.68,1.06,1.59,7.49%,21.48%,12.28%,-,HPG,9/30/2020 0:00,13.35,HPG
Q2 2020,20422202,2742827,428.81,-,112644201,60063624,52580576,8192.97,73996786,9.18,1.02,1.41,8.02%,18.84%,11.78%,-,HPG,6/30/2020 0:00,11.09,HPG
Q1 2020,19232708,2285287,357.28,-,107108967,57045558,50063409,7798.38,46524099,6.32,0.69,0.93,Upgrade,Upgrade,17.22%,-,HPG,3/31/2020 0:00,6.97,HPG
Q4 2019,,,,,,,,,,,,,,,,,HPG,12/31/2019 0:00,9.72,HPG
Q3 2024,8937886,4027832,507.67,-,858884594,716644720,142239874,17304.39,159471864,12.16,5.5,1.12,1.73%,10.37%,8.22%,-,VPB,9/30/2024 0:00,20.1,VPB
Q2 2024,7795722,3566846,449.57,-,864392980,726317366,138075614,16796.72,147967675,12.86,5.61,1.07,1.53%,8.89%,7.78%,-,VPB,6/30/2024 0:00,18.65,VPB
Q1 2024,7626360,3566697,449.55,-,822366981,679429571,142937410,17418.59,156694991,14.24,6.29,1.1,0.98%,6.29%,7.02%,-,VPB,3/31/2024 0:00,18.75,VPB
Q4 2023,4651945,1951446,280.43,1000,817566922,677771395,139795527,16969.04,151751117,15.21,6.53,1.09,1.28%,8.93%,6.57%,5.49%,VPB,12/31/2023 0:00,18.23,VPB
Q3 2023,6311881,2424746,361.19,-,780212730,670221182,109991548,15617.01,145676527,14.17,6.15,1.32,1.38%,9.22%,7.06%,-,VPB,9/30/2023 0:00,19.64,VPB
Q2 2023,6302181,3061793,456.09,-,739761986,632198116,107563870,15255.82,133257099,11.5,5.24,1.24,1.01%,6.33%,8.69%,-,VPB,6/30/2023 0:00,17.97,VPB
Q1 2023,5961530,2535954,377.76,-,677623733,572526094,105097639,14798.69,141312944,11.74,5.27,1.34,0.73%,4.37%,8.51%,-,VPB,3/31/2023 0:00,19.05,VPB
Q4 2022,5110574,2258353,337.81,1000,631012886,527510966,103501920,14424.95,119090386,6.55,3.4,1.15,2.35%,14.11%,15.26%,6.17%,VPB,12/31/2022 0:00,16.2,VPB
Q3 2022,8050223,3729883,558.72,-,595901874,493535620,102366254,14088.51,120837781,6.62,3.36,1.18,2.27%,13.73%,15.10%,-,VPB,9/30/2022 0:00,16.29,VPB
Q2 2022,7700766,3508206,524.92,-,608275139,509751315,98523824,13579.23,128918728,7.73,3.9,1.31,6.42%,39.31%,12.94%,-,VPB,6/30/2022 0:00,17.5,VPB
Q1 2022,14134219,8671526,1300.43,-,563923685,468721666,95202019,13053.46,165371610,9.62,4.98,1.74,1.63%,11.30%,10.40%,-,VPB,3/31/2022 0:00,22.45,VPB
Q4 2021,6081438,2342215,352.57,-,547409439,461131292,86278147,11753.03,161303809,13.76,6.28,1.87,1.86%,14.13%,7.27%,-,VPB,12/31/2021 0:00,21.6,VPB
Q3 2021,5153939,2160820,325.67,-,479431926,417109431,62322495,9346.06,162756417,13.26,6.26,2.61,3.62%,27.70%,7.54%,-,VPB,9/30/2021 0:00,22.09,VPB
Q2 2021,7840604,4016363,604.67,-,451767038,391755363,60011675,9054.51,166186464,13.44,6.28,2.77,2.99%,23.54%,7.44%,-,VPB,6/30/2021 0:00,22.7,VPB
Q1 2021,6592010,3201810,483.09,-,436241186,380245874,55995312,8448.53,109604515,9.7,4.41,1.96,2.78%,22.61%,10.31%,-,VPB,3/31/2021 0:00,14.97,VPB
Q4 2020,6425101,2897229,440.12,-,419026527,366233025,52793502,7965.44,79779322,7.66,3.26,1.51,2.21%,18.53%,13.05%,-,VPB,12/31/2020 0:00,10.9,VPB
Q3 2020,5599335,2251514,342.08,-,413892030,364165757,49726273,7554.98,57896524,5.78,2.36,1.16,2.98%,25.66%,17.31%,-,VPB,9/30/2020 0:00,7.96,VPB
Q2 2020,6245550,2951022,448.35,-,399473210,351998451,47474759,7212.9,49851954,4.96,2,1.05,2.40%,21.34%,20.17%,-,VPB,6/30/2020 0:00,6.86,VPB
Q1 2020,6177787,2313995,351.57,-,393208887,348685150,44523737,6764.55,41319835,4.51,1.71,0.93,Upgrade,Upgrade,22.15%,-,VPB,3/31/2020 0:00,5.68,VPB
Q4 2019,,,,,,,,,,,,,,,,,VPB,12/31/2019 0:00,6.71,VPB
Q3 2024,11063795,5790156,958.24,-,1028819208,918796010,110023198,17401.21,135878060,6.37,3.32,1.23,2.58%,23.75%,15.70%,-,MBB,9/30/2024 0:00,22.35,MBB
Q2 2024,11604855,6026749,994.27,-,988604894,884390946,104213948,16471.39,117373266,5.51,2.9,1.13,2.00%,18.68%,18.16%,-,MBB,6/30/2024 0:00,19.31,MBB
Q1 2024,8069601,4532698,752.51,-,900647141,799305717,101341424,16222.71,134291935,7.24,3.46,1.33,2.29%,21.41%,15.03%,-,MBB,3/31/2024 0:00,21.61,MBB
Q4 2023,10163183,4986366,831.59,434.783,944953640,848242481,96711159,15466.15,97242668,5.11,2.43,1.01,2.87%,26.18%,21.26%,2.74%,MBB,12/31/2023 0:00,15.87,MBB
Q3 2023,10617746,5773265,962.82,-,815880535,724117540,91762995,14650.71,96460555,5.99,2.53,1.05,2.54%,23.33%,19.83%,-,MBB,9/30/2023 0:00,15.74,MBB
Q2 2023,9975257,4893495,543.51,-,806237587,720168463,86069124,13704.28,91586520,6.03,2.44,1.06,2.80%,25.33%,19.91%,-,MBB,6/30/2023 0:00,14.95,MBB
Q1 2023,9338538,5023662,837.81,-,760761405,675993922,84767483,13495.52,82745247,5,2.17,0.98,2.08%,18.52%,21.71%,-,MBB,3/31/2023 0:00,13.17,MBB
Q4 2022,8166043,3434131,340.05,378.072,728532373,648919154,79613219,12666.21,77531163,4.82,2.07,0.97,3.06%,27.43%,22.55%,3.06%,MBB,12/31/2022 0:00,12.34,MBB
Q3 2022,10024283,4879193,813.71,-,656804225,580894349,75909876,12094.62,90679723,5.43,2.3,1.19,2.93%,27.80%,19.38%,-,MBB,9/30/2022 0:00,14.43,MBB
Q2 2022,10681142,4623202,771.02,-,658274396,587367590,70906806,11286.23,91435387,6.16,2.51,1.29,3.01%,29.19%,17.19%,-,MBB,6/30/2022 0:00,14.55,MBB
Q1 2022,8673480,4546209,758.18,-,649039794,581976246,67063548,10668.8,124495703,9.71,3.91,1.86,2.55%,24.41%,11.00%,-,MBB,3/31/2022 0:00,19.82,MBB
Q4 2021,10113093,3526064,444.01,-,607140419,544654396,62486023,9935.44,109193499,9.23,3.78,1.75,2.31%,21.76%,11.63%,-,MBB,12/31/2021 0:00,17.38,MBB
Q3 2021,6922019,3022176,504.23,-,555594688,496747295,58847393,9358.02,105226261,10.02,4.28,1.79,2.11%,19.92%,10.55%,-,MBB,9/30/2021 0:00,16.75,MBB
Q2 2021,6099727,2596026,433.04,-,523334486,467399715,55934771,8888.95,121326240,12.33,5.16,2.17,2.92%,28.25%,8.60%,-,MBB,6/30/2021 0:00,19.31,MBB
Q1 2021,5769608,3552809,592.89,-,510957496,457233731,53723765,8575.1,78063912,8.21,3.34,1.45,1.74%,16.35%,12.94%,-,MBB,3/31/2021 0:00,12.54,MBB
Q4 2020,5789075,1930705,224.95,-,494982162,444882667,50099495,8063.28,63693862,8.31,3,1.27,2.28%,20.61%,12.97%,-,MBB,12/31/2020 0:00,10.24,MBB
Q3 2020,5851761,2357119,399.48,-,427175325,378921331,48253994,7766.04,47625678,6.17,2.28,0.99,2.31%,21.29%,17.22%,-,MBB,9/30/2020 0:00,7.65,MBB
Q2 2020,5990977,2262584,382.11,-,421635683,375837182,45798501,7368.99,40029684,5.31,1.99,0.87,1.74%,17.01%,20.04%,-,MBB,6/30/2020 0:00,6.43,MBB
Q1 2020,3611920,1712251,291.21,-,406802682,362818632,43984050,7070.68,32674832,4.54,1.68,0.74,Upgrade,Upgrade,23.49%,-,MBB,3/31/2020 0:00,5.25,MBB
Q4 2019,,,,,,,,,,,,,,,,,MBB,12/31/2019 0:00,8.06,MBB
Q3 2024,15537337,2403519,1032,-,57677080,22432804,35244276,15010.41,146505877,17.04,2.37,4.16,14.35%,29.06%,6.55%,-,VNM,9/30/2024 0:00,69.55,VNM
Q2 2024,16655788,2670475,1149.99,-,54193954,15856507,38337447,16433.9,136892082,15.76,2.21,3.57,11.60%,24.90%,7.07%,-,VNM,6/30/2024 0:00,62.81,VNM
Q1 2024,14112411,2194667,916.94,-,51653870,15786279,35867591,15241.55,141280988,17.24,2.33,3.94,11.35%,27.24%,6.52%,-,VNM,3/31/2024 0:00,64.82,VNM
Q4 2023,15618711,2326014,896.71,950,52673371,17647627,35025744,15166.26,141280988,17.81,2.34,4.03,12.93%,28.68%,6.28%,6.02%,VNM,12/31/2023 0:00,63.99,VNM
Q3 2023,15636988,2492254,1066,900,54967436,20964372,34003064,14668.05,155074694,20.64,2.59,4.56,12.57%,25.06%,5.43%,7.67%,VNM,9/30/2023 0:00,69.72,VNM
Q2 2023,15194825,2198811,918.94,2000,50968782,14308732,36660050,16013.85,148386837,20.28,2.46,4.05,10.57%,22.65%,5.54%,9.06%,VNM,6/30/2023 0:00,64.56,VNM
Q1 2023,13918392,1856733,776.8,-,49264785,14754559,34510226,15072.85,155492685,21.52,2.59,4.51,10.34%,22.43%,5.21%,-,VNM,3/31/2023 0:00,67.65,VNM
Q4 2022,15068655,1869126,710.5,2450,48482664,15666146,32816518,14282.15,159045609,20.95,2.65,4.85,12.80%,26.30%,5.35%,7.73%,VNM,12/31/2022 0:00,69.2,VNM
Q3 2022,16079491,2298399,985,1400,51199903,17355518,33844385,14900.52,151103779,19.14,2.49,4.46,11.15%,23.42%,5.85%,5.96%,VNM,9/30/2022 0:00,64.59,VNM
Q2 2022,14930275,2082981,864.19,1500,53842176,17021657,36820519,16333.35,150894783,17.71,2.48,4.1,12.32%,25.79%,6.28%,6.18%,VNM,6/30/2022 0:00,62.34,VNM
Q1 2022,13877826,2265518,988.79,-,52995528,18018317,34977212,15406.05,169077396,18.33,2.74,4.83,11.56%,25.39%,6.05%,-,VNM,3/31/2022 0:00,69.85,VNM
Q4 2021,15819037,2196004,845.98,950,53332403,17482289,35850114,15829.66,180572150,19.13,2.96,5.04,15.42%,34.70%,5.83%,5.25%,VNM,12/31/2021 0:00,73.37,VNM
Q3 2021,16194052,2925767,1262,1400,52067759,18192841,33874918,14878.97,187260008,19.87,3.15,5.53,15.75%,33.51%,5.62%,5.26%,VNM,9/30/2021 0:00,76.09,VNM
Q2 2021,15715806,2834789,1206.12,1500,53046669,18671296,34375373,15131.73,188931972,19.73,3.21,5.5,14.08%,30.73%,5.65%,4.55%,VNM,6/30/2021 0:00,75.47,VNM
Q1 2021,13190270,2575917,1085.92,-,51051211,17087270,33963941,14991.71,205614999,21,3.5,6.05,10.86%,27.38%,5.31%,-,VNM,3/31/2021 0:00,81.13,VNM
Q4 2020,14424795,2185170,837.91,1100,48432481,14785358,33647122,14977.27,227346666,22.81,3.81,6.76,17.62%,39.20%,4.88%,4.61%,VNM,12/31/2020 0:00,88.89,VNM
Q3 2020,15563158,3077141,1323,833.333,50396458,18704936,31691521,14043.95,227564147,22.76,3.83,7.18,17.67%,38.20%,4.88%,4.78%,VNM,9/30/2020 0:00,88.97,VNM
Q2 2020,15495234,3071714,1321.8,2166.667,49596810,17241111,32355699,14421.33,196254051,20.42,3.37,6.07,17.69%,35.84%,5.47%,5.63%,VNM,6/30/2020 0:00,75.53,VNM
Q1 2020,14153100,2764912,1172.28,-,46073727,13826963,32246764,14361.46,158466004,16.73,2.77,4.91,Upgrade,Upgrade,6.66%,-,VNM,3/31/2020 0:00,60.2,VNM
Q4 2019,,,,,,,,,,,,,,,,,VNM,12/31/2019 0:00,77.07,VNM
Q3 2024,7777758,3870395,838.28,-,777392922,698538661,78854261,17653.97,115016441,7.14,3.65,1.46,2.39%,23.90%,14.13%,-,ACB,9/30/2024 0:00,25.75,ACB
Q2 2024,8007876,4468590,983.67,-,769678700,694886022,74792678,16744.66,106306458,6.53,3.36,1.42,2.16%,21.44%,15.44%,-,ACB,6/30/2024 0:00,23.8,ACB
Q1 2024,7709854,3905419,832.48,-,727297968,652507236,74790732,16744.23,110695435,7.07,3.57,1.48,2.34%,23.26%,14.29%,-,ACB,3/31/2024 0:00,23.94,ACB
Q4 2023,8057498,4006279,897.16,-,718794589,647838628,70955961,15885.69,92828804,5.84,3,1.31,2.52%,24.91%,17.28%,-,ACB,12/31/2023 0:00,20.08,ACB
Q3 2023,7903699,4037579,892.81,-,648509938,581684649,66825289,14960.91,84866500,5.75,2.78,1.27,2.49%,24.66%,17.57%,-,ACB,9/30/2023 0:00,18.35,ACB
Q2 2023,7311572,3865846,860.31,-,630893170,568025989,62867181,14074.77,85643310,5.99,2.89,1.36,2.71%,27.35%,16.88%,-,ACB,6/30/2023 0:00,18.52,ACB
Q1 2023,7662727,4135029,908.57,-,611223523,548693358,62530165,13999.32,84435877,5.87,2.86,1.35,1.96%,20.11%,17.22%,-,ACB,3/31/2023 0:00,17.54,ACB
Q4 2022,7672438,2870518,635.55,756.144,607875185,549436522,58438663,13083.31,73965829,5.46,2.58,1.27,2.60%,26.62%,18.51%,4.92%,ACB,12/31/2022 0:00,15.37,ACB
Q3 2022,7000525,3586992,792.06,-,561113724,505378993,55734731,12477.95,74979059,5.73,2.9,1.35,2.94%,31.46%,17.67%,-,ACB,9/30/2022 0:00,15.58,ACB
